,Writer Name,Genres
0,Nicaless,"Fantasy, Young Adult"
1,Rachel B. Moore,"Literary, Literary Fiction"
2,abookishbabe,Young Adult
3,alexabexis,"Romance, Horror/Supernatural, Horror & Supernatural, Adventure, Fantasy"
4,AllYellowFlowers,"Literary, Literary Fiction"
5,animalrza,"Mainstream Fiction, Mainstream"
6,Cafenuit,Mainstream
7,Carmelon,"fantasy, spiritual, personal,"
8,carozy,"Romance, Adventure"
9,chrisk0,"Science Fiction, Fantasy"
10,ComeOnAndWriteThisNovel,"Personal, Young Adult"
11,cretsi,"Science Fiction, Paranormal Satire"
12,dazart,Personal
13,dgiuliani,"Literary Fiction, Mystery, Thriller & Suspense, Mainstream"
14,FaerieRogue,Fantasy
15,fallingleaf,"Mystery, nan, Literary, Fantasy, Mystery, Thriller & Suspense, Thriller/Suspense"
16,FeliciaFredlund,"Fantasy, Multi-genre!, Multiple, Young Adult & Youth"
17,grenouille,"Literary, Science Fiction, Mainstream, Literary Fiction, Fantasy"
18,hbt003,"nan, Literary Fiction, Personal, Literary, Horror/Supernatural, Short Story Collection, Satire/Humor, Thriller/Suspense"
19,imtrisprior,"Religious/Spiritual, Young Adult"
20,Jamesalicious,"Young Adult, Young Adult & Youth, Mainstream"
21,Jen Gambale,"Science Fiction, Young Adult, Young Adult & Youth"
22,K. R. Smith,"Romance, Mainstream Fiction, Horror & Supernatural, Mainstream"
23,Kelvarus,"Science Fiction, Adventure, All of the above"
24,khmore,"Mystery, Mystery, Thriller & Suspense"
25,kp17,Mainstream
26,kristenrudd,"Fantasy, Young Adult, Young Adult & Youth, Mainstream, Mainstream Fiction"
27,lavenderblue,"Literary, Literary Fiction"
28,Liberate,"nan, Fantasy"
29,liteindigold,Fantasy
30,Lunar Daddy,Literary
31,MamaHen40,Science Fiction
32,MermaidMaddie,"Romance, Fantasy"
33,motherless child,Adventure
34,nelle81,Horror/Supernatural
35,nemodos,"Mystery, Fantasy, Thriller/Suspense, Literary Fiction, Science Fiction"
36,nicole1967,Young Adult
37,Rebecca Stern,"Literary, nan, Young Adult"
38,rienkarrot,"Psychological, Science Fiction, Fantasy"
39,s.writes56,"Literary, Historical"
40,schappy,Fantasy
41,Shaun Parker,"Mystery, ""Childrens Fiction"""
42,sninkychan,"Mystery, nan, Young Adult, Alternative history, Horror & Supernatural, Adventure"
43,SquirrelScribe,Science Fiction
44,UltraCelestial,"nan, Fantasy"
45,unagicat,"Young Adult, Young Adult & Youth"
46,Uriel238,"nan, Science Fiction"
47,ValkyrieKS,"nan, ""Lets just see..."", Speculative Fiction"
48,Vehka,"nan, Science Fiction, Young Adult, Fantasy, Mystery"
49,honeywell,"Mainstream Fiction, Fanfiction, Satire, Humor & Parody, Mainstream"
50,Allioup,"Personal, Adventure"
51,amelia.marshall,"Literary Fiction, Mainstream Fiction, Historical"
52,AngerAndAgony,Fanfiction
53,Aralonia,"Fantasy, Adventure, Adventurous Satire, Satirical Adventure"
54,bexdragon,"Science Fiction, Fantasy"
55,Bustella,Young Adult
56,Crodentia,"Horror/Supernatural, Science Fiction"
57,DarylDarko,"Horror/Supernatural, Literary Fiction, Mystery, Thriller & Suspense"
58,Derek Wallace,"Horror/Supernatural, Science Fiction"
59,dkdailey,"Young Adult, Young Adult & Youth"
60,ebonstorm,"Personal, Fantasy"
61,EllenMulholland,Young Adult
62,escabatum_rip3,"Science Fiction, Satire/Humor, Hist Fiction with Supernatural"
63,ethibeaux,Young Adult
64,fiegellan,"Personal, Fantasy"
65,fireun,Fantasy
66,G.M. Luna,"Thriller/Suspense, Adventure"
67,Grant Faulkner,"Literary Fiction, Mainstream Fiction, Young Adult, Mainstream"
68,greenphoenixrain,Fantasy
69,hsparks,Science Fiction
70,Ixy-Pixy,"Fantasy, Young Adult, Adventure, Mainstream"
71,jjfid,"nan, Mystery"
72,jodimt,"Literary, Horror/Supernatural, Young Adult & Youth"
73,jonbritton,"Mainstream Fiction, Satire/Humor"
74,J_Hill,"Fantasy, Erotic"
75,laceywilson,Personal
76,Laconic Lad,"Fantasy, Adventure"
77,lassen86,Fantasy
78,lenichi,"Literary, Fantasy"
79,LetterpressLibrarian,Fantasy
80,lil bone,"Fantasy, Young Adult & Youth, Mainstream Fiction, Science Fiction"
81,lokelani86,"nan, Chick Lit, Mainstream, Historical Fiction"
82,Mancha,"Fanfiction, Adventure"
83,MKent1,Science Fiction
84,MusicalMe,"Mainstream, Chick Lit"
85,mwalker,"Science Fiction, Adventure, Fantasy"
86,naseem.sage,"Romance, Fantasy, Thriller/Suspense"
87,NLettis,Fantasy
88,Nytshaed,"Horror/Supernatural, Fantasy, Erotic Fiction, Romance"
89,poise,"Philosophy and Fanfiction, Fanfiction, Nature and Injuries, Historical Fiction, Analysis"
90,QuinnWhittaker,"Young Adult, Adventure, Horror & Supernatural"
91,RagingFem,"Fantasy, Young Adult & Youth"
92,revdolphin,Science Fiction
93,Robertjm,"Horror/Supernatural, Historical"
94,Sophia Salazar,"Mystery, Mystery, Thriller & Suspense"
95,Space-Jack,"Fantasy, SciFi/High Fantasy/Post Apoc"
96,sushimustwrite,"nan, Historical adventure / ???, Mainstream, Mainstream Fiction, Young Adult & Youth, Scifi/Metafiction, Multiple (see below)"
97,The-Big-Bad-Firewing,"Romance, Fantasy, Mainstream, Science Fiction"
98,wildflowerlens,Personal
99,wittycassiehere,Mainstream
100,wordweaver,"nan, Horror/Supernatural"
101,WSpinale,"Steampunk, Young Adult"
102,Alexandris,Fantasy
103,ambrella,nan
104,DinosaurDooDoo,"Fantasy, Science Fiction"
105,gakernes,Young Adult
106,irlangel,"Literary, Fantasy"
107,jenniferkate,"Young Adult, Young Adult & Youth"
108,Jessbear84,Personal
109,JWhiteFang,nan
110,KDSUNFLOWERS,Young Adult
111,kicksandgiggles,Fanfiction
112,krkausen,Fantasy
113,lynxzpanther,"Horror/Supernatural, Young Adult, Young Adult & Youth"
114,melissacroce,"Romance, Mainstream Fiction"
115,MsHannaBSmith,"Horror/Supernatural, Young Adult"
116,New Apollo,Young Adult
117,pbtoejam05,"Fantasy, young adult urban fantasy, Urban fantasy"
118,sniccolls,Fantasy
119,StardustStorm,Fanfiction
120,Torturedwriting,Young Adult
121,@Erin_Havel,"nan, Fantasy, Memoir"
122,allireapandsow,Young Adult
123,amberkell,Fantasy
124,Ashley Daniele,Adventure
125,astridsdream,"Fantasy, Adventure"
126,authorperson,Young Adult
127,Blushingwriter,Romance
128,Boupie,"nan, Fantasy, Horror/Supernatural, Science Fiction"
129,CairennRhys,"Horror/Supernatural, Non-Fiction, Religious, Spiritual & New Age"
130,Caisidorhpa,"Mystery, Adventure"
131,CAPav,"Literary Fiction, Science Fiction"
132,Darkotters Kosher Bacon,"Fantasy, Young Adult & Youth, Adventure"
133,dlindle,"Romance, Young Adult, Urban Fantasy"
134,ElizaWyatt,"Fantasy, Steampunk"
135,Frozen_in_Tyme,"nan, Fantasy, Horror & Supernatural, no idea"
136,fyca,"nan, Young Adult, Mainstream Fiction, Historical, Mystery, Thriller & Suspense, Fanfiction"
137,JaxFost,Adventure
138,jelliott93,Horror/Supernatural
139,Jonah ER Loeb,Science Fiction
140,Judydawn,"Science Fiction, Fantasy"
141,juliawester,Young Adult
142,kalekim,"nan, Personal"
143,KinoFou,Young Adult
144,kittypan,"Fantasy, Young Adult"
145,KlaraKim,"Fantasy, Creative Non-fiction"
146,KnottedCord21,"Literary, Science Fiction, Young Adult & Youth"
147,LadyJustice,Personal
148,lunespark,Young Adult
149,MDBrannan,Horror/Supernatural
150,Miss Apple,"Romance, Young Adult, Young Adult & Youth"
151,morvegan,Literary
152,MrLasers,Adventure
153,NW_Rose,"""Womens Fiction"""
154,otakubookworm123,"Romance, Young Adult"
155,Tamsin_Silver,"Romance, Fantasy"
156,starleaf,"Young Adult & Youth, Thriller/Suspense, Fantasy"
157,spinflight,"nan, Fantasy, Young Adult"
158,sandersen,"nan, Fantasy, Mystery, Thriller & Suspense"
159,russodd,"Literary, Science Fiction, Literary Fiction, Fantasy, Horror & Supernatural, Adventure, Horror/Supernatural, Satire/Humor, Satire, Humor & Parody"
160,Priscale,"Romance, Mainstream Fiction, Trick Lit, e-lit"
161,plague,"Science Fiction, Mainstream, Mainstream Fiction"
162,Mare9548,"Romance, Fantasy, Fanfiction"
163,lilychick,"Fantasy, Young Adult, paranormal romance, of sorts."
164,Lara F,"Mystery, Science Fiction, Horror & Supernatural"
165,LadyMage,"Fantasy, Science Fiction"
166,kapppz,"Young Adult, Young Adult & Youth"
167,jrkennedy,"Mystery, Fantasy, Mystery, Thriller & Suspense"
168,hershele_ostropoler,"Literary, Mainstream Fiction, Satire, Humor & Parody, Mainstream"
169,Gia Shakur,Science Fiction
170,florenceandcalamity,"Fantasy, Young Adult & Youth"
171,embereye,"nan, Fantasy, Fantahorrorsupersomething, Literary, Science Fiction, Horror/Supernatural"
172,Darkscribe,"Horror/Supernatural, Fantasy, nan, Science Fiction"
173,ClaudyKeira,Fantasy
174,cinnamon.quill,Fantasy
175,AxmxZ,"nan, Fantasy, Young Adult & Youth, Thriller/Suspense, Mystery, Thriller & Suspense"
176,aravis,"nan, Fantasy"
177,angusm,"Science Fiction, Fantasy"
178,ksg1981,"nan, Fantasy, Young Adult, Thriller/Suspense, (TBC)"
179,thrilleraddict,"Bisexual Apocalypse/YA, Horror, Horror & Supernatural, Fantasy"
180,samioni,"nan, Fantasy, Science Fiction, Horror & Supernatural, Young Adult & Youth, Horror/Supernatural, Thriller/Suspense"
181,sacredlove!,"Romance, nan, Adventure"
182,rachnmi,"Romance, Young Adult & Youth, Historical"
183,PurplePixie,"Steampunk, Fantasy"
184,Paul Hiscock,"Mystery, Mystery, Thriller & Suspense, Fantasy"
185,Omega1989,"Romance, Science Fiction, Horror & Supernatural, Thriller/Suspense, Fantasy"
186,nudul,"Fantasy, Young Adult"
187,NickMB,"Fantasy, Short Stories, Mainstream Fiction"
188,NathalieLot,Adventure
189,Mighty Sarbear,"Science Fiction, Satire/Humor"
190,middleoftheride,"Mainstream Fiction, Young Adult, Young Adult & Youth, ""Childrens Fiction"""
191,LXandraS,"Horror/Supernatural, Historical Fiction, Historical"
192,LumpyLex64,Literary
193,LouSycamore,"nan, Mystery, Thriller & Suspense, Young Adult"
194,LorelaiSquared,"Romance, Fanfiction, Young Adult & Youth"
195,lisashawnz,Mainstream
196,lisalulu09,"Young Adult, Young Adult & Youth"
197,lingrem,"Personal, Fantasy, Science Fiction"
198,Liberate,"nan, Fantasy"
199,Klepsie,"Horror/Supernatural, Satire/Humor"
200,kimosabe,"Mystery, Thriller & Suspense, Supernatural romance, Fiction"
201,Karmilla,"Horror/Supernatural, Horror & Supernatural"
202,Kaleidoscope27,"Horror/Supernatural, Fantasy, Horror & Supernatural, Young Adult"
203,K.O.KOALA,"""Childrens Fiction"""
204,K J Hart,"middle grade, Young Adult & Youth, ""Childrens Fiction"""
205,Juliet Stubborn,"nan, Fantasy"
206,jrothwell,"Science Fiction, Thriller/Suspense"
207,Joan_of_Quark,"Literary, Literary Fiction"
208,Jim Jepps,Science Fiction
209,Jerrymouse,"nan, Historical Fiction, Historical"
210,Jenepel,"Romance, Young Adult, Young Adult & Youth"
211,JeffDudley,"Fantasy, Young Adult & Youth, Mystery, Thriller & Suspense, Science Fiction"
212,illraiseyoumine,"Mystery, Thriller & Suspense, Thriller/Suspense, Mainstream"
213,Ikalx,"Fantasy, Science Fantasy, Steampunk Fantasy"
214,fairyhedgehog,"Young Adult, Fantasy, YA Sci Fi, Romance, Science Fiction, Editing, Urban fantasy"
215,Erika Sugar,Young Adult
216,Elyzab,"nan, Historical, Horror & Supernatural, Young Adult & Youth, Historical Fiction, Thriller/Suspense"
217,dtravner,"Literary, Mystery, Mystery, Thriller & Suspense"
218,devilgate,Science Fiction
219,Detective Prince,"Fantasy, Young Adult, Young Adult & Youth, Adventure"
220,delorfinde,"nan, Historical Fantasy // YA, Retellings, Horror & Supernatural, Fantasy, Revenge Tragedy, Young Adult & Youth"
221,darklioness82,"Romance, Science Fiction, Fanfiction, Drama/Humour"
222,christinahcare,Literary/Dystopian
223,Chris Baty,"Mystery, Fantasy, Young Adult, Mainstream Fiction"
224,chanters,"Fantasy, Horror & Supernatural, Young Adult & Youth, Science Fiction"
225,CarlieD,"Fantasy, Historical Fiction, Historical, Mystery, Thriller & Suspense"
226,brown.eyed-kid,"Romance, Mainstream Fiction, Romance & Thriller, Thriller/Suspense, Mystery, Thriller & Suspense"
227,Blue Amber,"Non-Fiction, Fantasy"
228,beanchica1959,"Mystery, Literary Fiction, Young Adult, Fantasy, Personal, Romance, Mainstream Fiction, Horror & Supernatural, Adventure, Mystery, Thriller & Suspense, Satire/Humor, Thriller/Suspense"
229,BBQColin,"Ghost/Supernatural Comedy, Satire/Humor, Satire, Humor & Parody, Mainstream"
230,Balladeer,Fantasy
231,Asphodele,"Steampunk Historical Fantasy, Fantasy, Science Fiction, Historical Fiction, Satire/Humor, Fanfiction"
232,AnnG,"Mystery, Thriller & Suspense, Thriller/Suspense"
233,AmberMeyer,"Young Adult, Young Adult & Youth, Mainstream"
234,Zirkin,"Science Fiction, Mystery, Thriller & Suspense, Fantasy"
235,Zinzol,Literary
236,Zina Blomber,Young Adult
237,Zagreos,Fantasy
238,Yzabel,"Horror/Supernatural, Science Fiction, Horror & Supernatural, Fantasy"
239,Yuzetsuki,"nan, Young Adult"
240,Yume ka Mage,"Romance, nan, Fanfiction, Thriller/Suspense"
241,You learn to live and die and then to live,"Romance, Young Adult"
242,Xanadudelamare,"nan, Science Fiction, Young Adult & Youth, Fantasy"
243,Wombatkoon,"Literary Fiction, Mainstream Fiction, Mainstream"
244,Wolburgh,Fantasy
245,webcomix,"Fantasy, Young Adult, Historical Fiction, ""Childrens"""
246,Walktapus bis,"copyleft pornomagitechthriller, Fantasy, Cristallologie picaresque"
247,Vleg,Fantasy
248,vivi4,Young Adult
249,Violeen,Young Adult
250,Vilyajade,"Science Fiction, Horror & Supernatural, Historical Fiction, Mystery, Thriller & Suspense"
251,UrsaMaritima,"Fantasy, Fantastique, aventure"
252,Unseelie Ashbless,"Fantasy, Thriller/Suspense"
253,UltraChilly,Science Fiction
254,tuttyFruity,Science Fiction
255,Tûtie,"Science Fiction, Adventure, Fantasy"
256,Tristan Morlaës,"Literary, Thriller/Suspense"
257,Trikopp,Psychose(s)
258,The Sullen Captain,Mainstream
259,TerresDeBrume,"Fantasy, Fanfiction"
260,Teneombre,"Romance, Science Fiction"
261,tchaymz,"Science Fiction, Fourre-tout"
262,Sylvène,"Fantasy, Young readers"
263,Sylphe,Science Fiction
264,Syderia,"Science Fiction, Fanfiction, Fantasy"
