,Writer Name,Genres
265,Svetlana Desmon,"Romance, Fantasy, Chais pas (mais \xc3\xa7a sera nawak), Fanfiction, Satire, Humor & Parody"
266,sushimustwrite,"nan, Historical adventure / ???, Mainstream, Mainstream Fiction, Young Adult & Youth, Scifi/Metafiction, Multiple (see below)"
267,Sunshine_md,"nan, Fantasy, Young Adult"
268,Stinou,Science Fiction
269,stendhalsyndrome,nan
270,spalven,"Young Adult, Science Fiction, Fantasy, Young Adult & Youth, Adventure, Historical Fiction"
271,Sophie Ekwo,"Science Fiction, Fantasy"
272,Sophia Humbert,Horror/Supernatural
273,Soniaf,Young Adult
274,Sombral,Adventure
275,Solibear,"Fantasy, Young Adult"
276,Solamades,"Fantasy, Adventure"
277,Silybum,Horror/Supernatural
278,Siloé,"Fantasy, Science Fiction"
279,Shuu,"Mainstream, Fantasy, Historical Fiction & Fantasy, Science Fiction, Horror & Supernatural, Mystery, Thriller & Suspense"
280,Shikaya,Fanfiction
281,Senekata,"nan, Fantasy, Inqualifiable // Aventure"
282,Selma Bodwinger,Horror/Supernatural
283,Seija,"Horror/Supernatural, Mystery, Horror & Supernatural"
284,Scylite,Fantasy
285,Scribantrope,"Horror/Supernatural, Historical Fiction"
286,Scott Green,Adventure
287,scarlett in wonderland,Literary
288,Saschka,"Mystery, Thriller & Suspense, Satire/Humor, Satire, Humor & Parody, Fantasy"
289,Sarisarounette,Literary
290,Sarah Moan,"Other, Fanfiction, Horror & Supernatural"
291,Sandinea,Horror/Supernatural
292,Sance,Erotic
293,Saintemew,"Romance, Fantasy, Young Adult, Fanfiction, Historical Fiction"
294,Saint-Saëns,nan
295,Ryin,"nan, Personal, Adventure"
296,RobinLane,Science Fiction
297,riverSud,Fanfiction
298,reallysuperneat,"Young Adult, Mainstream, Fantasy, Romance, Science Fiction, Young Adult & Youth, Horror/Supernatural, Thriller/Suspense"
299,rahmatou sangotte,"Literary Fiction, fiction"
300,QueenCassie,"Romance, Horror & Supernatural, Adventure"
301,Quod,"Literary, Literary Fiction"
302,smwalter,"Fantasy, Thriller/Suspense, Adventure, Chick Lit, ""Womens Fiction"""
303,theinfernumflame,"Horror/Supernatural, Fantasy, Science Fiction"
304,slrphebos,Romance
305,Ohwriting,Fantasy
306,Lofweir,"Mainstream Fiction, Horror & Supernatural, Thriller/Suspense"
307,Lady Quetzalcoatl,"Young Adult, Young Adult & Youth, ""Womens Fiction"""
308,expatrie,"Fantasy, Mystery, Thriller & Suspense, Science Fiction"
309,dead_end_moon_angel,"Sci-fi/Children, Science Fiction, Young Adult & Youth, nan, Mainstream Fiction"
310,callalily05,"Romance, Mystery, Thriller & Suspense, Young Adult & Youth"
311,ABitofAnAlliterate,Personal
312,Aiea,"Personal, Fantasy, Satire/Humor, ""Womens Fiction"""
313,Angel Gail Rose,"Romance, Young Adult, Young Adult & Youth"
314,Aubrette,"Romance, Science Fiction, Erotic Fiction, Mainstream Fiction"
315,Blackie_DuQuesne,Mystery
316,bouncycheese,"Young Adult, Young Adult & Youth"
317,CairennRhys,"Horror/Supernatural, Non-Fiction, Religious, Spiritual & New Age"
318,CasaubonHermeticum,"Literary, Literary Fiction"
319,chiheatherlove,"nan, Fantasy, Literary Fiction"
320,Constance Snythl,"nan, Young Adult, Young Adult & Youth"
321,CrimsonBlood,"Horror/Supernatural, Science Fiction, Thriller/Suspense"
322,crusanton,Mainstream
323,cwood779,"Horror/Supernatural, Horror & Supernatural"
324,danfinnen,"Horror/Supernatural, Fantasy"
325,dark_phoenix,"nan, Young Adult, Fantasy, Science Fiction, Young Adult & Youth, Chick Lit"
326,displacedbeatnik,"Literary, Mainstream, Historical Fiction, Literary Fiction, Historical, Satire/Humor, Satire, Humor & Parody"
327,eauderose,"Literary, nan, Literary Fiction"
328,Ellis422112,Romance
329,expatrie,"Fantasy, Mystery, Thriller & Suspense, Science Fiction"
330,fletchbohne,"Romance, Science Fiction"
331,iamthemoonstar,Science Fiction
332,I_Think_Im_2D,"Horror/Supernatural, Science Fiction"
333,jedishan,"Personal, Fantasy, Romance, Historical Fiction"
334,JenBoylen,Young Adult
335,Joe_Stallone,Crime/Drama
336,jim.markus,"nan, Satire, Humor & Parody, Short Stories, Adventure, Mainstream Fiction"
337,JLynneMoore,"Literary, Dual Perspective Piece, Satire, Humor & Parody"
338,johnveritas,"Fantasy, TBD"
339,JuliannaUnderhill,Thriller/Suspense
340,K.D. Atkins,"Young Adult, Young Adult & Youth"
341,KellyDuff,"Romance, Chick Lit"
342,lassarina,"Fantasy, Fanfiction"
343,ladychris,"Personal, Romance, Fanfiction, Sci-fi Adventure Romance"
344,LaVieDansante,"nan, Young Adult, Mainstream, Literary Fiction, Mainstream Fiction, Chick Lit, ""Womens Fiction"""
345,Lofweir,"Mainstream Fiction, Horror & Supernatural, Thriller/Suspense"
346,M.H. Afa,Fantasy
347,madambition,"Romance, Thriller/Suspense"
348,MrCrow9000,Fantasy
349,Montesol,Science Fiction
350,msmolarek,"Literary, Mainstream Fiction, Mainstream, Literary Fiction"
351,DanzAmazon,"Literary, Young Adult SF/F, Erotic Literary Fiction, YA Steampunk Fantasy, Literary Fiction"
352,zricks,"Fantasy, Science Fiction"
353,zendra,"Science Fiction, Fantasy"
354,zegota,"Fantasy, Science Fiction"
355,xmenbari,"Science Fiction, Adventure, Fantasy"
356,WildwoodGoddess,Young Adult
357,wellwords,Fantasy
358,TxLeggz,"nan, Personal, Other, Mainstream Fiction"
359,Triais31,Fantasy
360,theriversflow,"Science Fiction, Young Adult, Fantasy"
361,The Rain Maniac,"Horror/Supernatural, Thriller/Suspense"
362,TBuchle,"Romance, Erotic, Erotic Fiction"
363,tashawiginton,Young Adult
364,TarotbyArwen,Fantasy
365,Sunshine.civalization,"Fantasy, Not sure, Young Adult, Young Adult & Youth"
366,SpeedingCadence,"Science Fiction, Fantasy, Nonfiction- Sociology"
367,spanksthellama,"Horror/Supernatural, Non-Fiction/Self Help, Science Fiction"
368,Soluna,"Science Fiction, Humorous erotic fiction, Adventure, Chick Lit, ""Womens Fiction"""
369,SkepticalDreamer,Fantasy
370,Skalidra,"Fantasy, Fanfiction, Fanfiction - Fantasy/Adventure"
371,Sionna Dehr,Fantasy
372,siobhangra,"nan, Other, A Tarot Focused Nano Rebellion"
373,ShadowsEdge,"Fan fiction, nan, not really sure!, Fantasy, Satire/Humor, Fanfiction, Urban Fantasy"
374,Sarasamsara,"Science Fiction, Steampunk"
375,scaserta11,Literary
376,ReiKnight,Fantasy
377,QueenBee1008,Personal
378,Oonaverse,"Horror/Supernatural, Horror & Supernatural"
379,paperflye,"Young Adult, Young Adult & Youth"
380,OhNoDomo,"Science Fiction, Fantasy"
381,Nyrissa,Fantasy
382,movieye,"Young Adult, Young Adult & Youth"
383,mortillos,"nan, Fantasy, Mainstream Fiction"
384,Montythibidoux,"Fantasy, Thriller/Suspense, Historical"
385,mollib,"Young Adult, Mainstream Fiction, Young Adult & Youth, M/M Romance, Mystery, Thriller & Suspense, M/M Romantic Mystery, Spec Romance"
386,lleikeratx,Mainstream
387,letsdothisthing2014,Young Adult
388,Leirua,"Mainstream Fiction, Young Adult, Young Adult & Youth"
389,kiwiette,"Fantasy, Mainstream, Mainstream Fiction"
390,Kittycat2007,"Mystery, Thriller & Suspense, Thriller/Suspense, ""Childrens Fiction"""
391,Kitty Van Halen,Young Adult
392,kellyspace1208,"Mystery, Thriller/Suspense"
393,karalianne,"Mystery, Romance, Young Adult, Fantasy, Literary, Science Fiction, Young Adult & Youth, ""Childrens Fiction"""
394,K. Hinton,"Science Fiction, Fantasy"
395,Jontheone,Young Adult
396,Jennifer Duckie Brewer,"nan, Young Adult & Youth"
397,jadana,"Fantasy, Speculative Fiction"
398,Janice D-P,Thriller/Suspense
399,Jackbuck,Personal
400,icefallstears,"Mystery, Thriller & Suspense, Fanfiction, Thriller/Suspense, Horror & Supernatural"
401,hillsc,"Personal, Fantasy, Literary Historical Sci Fi :), Science Fiction"
402,helenathemuse,"Literary Fiction, Young Adult, Romance, Literary, Young Adult & Youth, Satire/Humor, Thriller/Suspense"
403,Handsome Jim,"Science Fiction, Adventure"
404,gpanza,"Romance, Fantasy, Thriller/Suspense, Mystery, Thriller & Suspense"
405,Gozonji,"Mystery, Thriller & Suspense, Young Adult"
406,gale.albright,"Mystery, Mystery, Thriller & Suspense, Historical Fiction, Fantasy"
407,flickguy,"Science Fiction, Fantasy, Horror/Supernatural, Satire/Humor, Thriller/Suspense, General Fiction"
408,Farrah_Rochon,Romance
409,Evinschmevin,Romance
410,EvalinaPhoenix,"nan, Fantasy, Chick Lit, Fanfiction, Autobiography/Cookbook, Urban Fantasy"
411,embersshadow,"Science Fiction, Young Adult, Fantasy"
412,solayan,"Science-Fantasy, Fantasy, Fanfiction, Science Fiction"
413,wulfae,"Fanfiction, fanfic, Adventure"
414,WrittenLiving,"Horror/Supernatural, Fantasy, Young Adult & Youth"
415,TrudyG,"Science Fiction, Mainstream Fiction, Fantasy"
416,Rinjii,"Fantasy, Horror/Supernatural, Science Fiction, Horror & Supernatural, Science Fiction, Fanfiction, Fanfiction"
417,persekore,Fantasy
418,perfectimperfection,"Fantasy, Thriller/Suspense, Mystery, Thriller & Suspense, Science Fiction"
419,mr_caterpillar,"Fantasy, Science Fiction"
420,Lop,"Fantasy, Fanfiction"
421,LadyofPangaea,"Fantasy, Fanfiction"
422,kaluvinar,"nan, Young Adult & Youth"
423,Hemp Fandango,"Horror/Supernatural, Horror & Supernatural"
424,Coralie,"nan, Science Fiction, Fantasy, Horror & Supernatural, Young Adult & Youth, Adventure"
425,cleverboot,"nan, Mystery, Thriller & Suspense, Young Adult & Youth, Adventure, Fantasy"
426,Brandon Sanderson,"Fantasy, Young Adult"
427,artistflop,"Fantasy, Fanfiction"
428,Applepine,"Fantasy, Young Adult & Youth, Adventure"
429,mrshreffler,"Personal, Non-Fiction, Young Adult & Youth, Satire, Humor & Parody, Fantasy"
430,young108west,"Mystery, Non-fiction, Young Adult & Youth, Mystery, Thriller & Suspense"
431,FelineTheCatHerder,"nan, Urban Fantasy"
432,E M Caines,"nan, Young Adult & Youth"
433,caflesch,"New Adult, Young Adult & Youth, M/M Romance, New Adult Sports"
434,Foreign_Nebula,"Fantasy, Adventure"
435,WishfollThinking,Dystopian
436,Tiriniel,"Fantasy, Fanfiction"
437,theladyafterwards,"nan, Literary Fiction"
438,Shadow of Malice,Fantasy
439,Rovine,"Supernatural/Thriller, Travel / Culture blog"
440,MarchMagnolia,"Science Fiction, Fantasy"
441,Lauren E. Mitchell,"Humour/Romance/QUILTBAG, Mainstream, Mystery/Adventure/Shenanigans, Romance/Erotica/Mystery/LGBT+, Urban Fantasy/Erotica/BDSM, Fantasy, Queer Urban Erotic Fantasy, Horror/Supernatural, Romance/Erotica/Angst/QUILTBAG, Urban Fantasy"
442,Lauralu91,"Young Adult, Adventure"
443,jdniemand,"Science Fiction, Young Adult, Young Adult & Youth"
444,HyperCaz,Fantasy
445,Hexigon,Science Fiction
446,gwentheg,Young Adult
447,DrachenkralleFantasy,Fantasy
448,Balladeer,Fantasy
449,QueenOfTheUniverse,"Nothing really, Romance, Fantasy, No clue, Mystery, Thriller & Suspense, ""Cant remember"", Thriller/Suspense"
450,Vashtan,"Science Fiction, Mainstream, Historical"
451,tkphotog,"Satire/Humor, Satire, Humor & Parody"
452,SocioTom,"Mystery, Fantasy, All. Just all the genres., Literary, Science Fiction, Adventure, Satire/Humor, Satire, Humor & Parody"
453,Kaje Harper,"Romance, Mystery, Young Adult & Youth"
454,EmpressRiz,"Horror/Supernatural, Horror & Supernatural, Memoir, Navel Gazing Humor"
455,DevB,"Mystery, Romance, ""Womens Fiction"""
456,corgilord,"Fantasy, Young Adult"
457,Cayendi,"Gay SF/Romance, Fantasy, Gay SciFi/Fantasy/Romance, YA Gay Fantasy, Gay Fantasy/Romance, YA gay fantasy"
458,Becky Black,"Romance, Science Fiction, Adventure"
459,bandanna,Science Fiction
460,AnneTenino,Romance
461,aliciagregoire,"Fantasy, Young Adult, Young Adult & Youth"
462,TheRogueParadox,"Romance, Fantasy, Young Adult, Young Adult & Youth, Adventure"
463,yukondawn,"Literary Fiction, Science Fiction"
464,Wolf Wild (Kaden),"Fantasy, Horror & Supernatural"
465,Sparkling,Science Fiction
466,sjobeamer,"Science Fiction, Young Adult & Youth, Adventure"
467,reincarnated_alphonse,"Fantasy, Fanfiction, Science Fiction"
468,phoenix.writing,"Fantasy, Science Fiction"
469,Nickola,"Thriller/Suspense, Adventure"
470,Nianne,"Fantasy, Historical Fiction"
471,MelissaMelody,"Romance, Fantasy, Young Adult"
472,Max Bliss,"Personal, Science Fiction, Young Adult, Thriller/Suspense"
473,Lynoir,"Science Fiction, Horror & Supernatural, Fantasy"
474,lachattefatale,"Fantasy, Young Adult & Youth, Adventure"
475,Kiryuu-Chan,"Poetry, Fantasy, Horror & Supernatural, Young Adult & Youth, Adventure, Horror/Supernatural, Thriller/Suspense"
476,KehmberRaine,Horror/Supernatural
477,karygurl,"Romance, Fantasy, Young Adult & Youth"
478,jedimarri,Fantasy
479,Dunx,"Horror/Supernatural, Science Fiction"
480,destaren,"nan, Fantasy, Religious, Spiritual & New Age, Adventure, Science Fiction"
481,Corvus Ptarmigan,"Science Fiction, Fantasy"
482,Chocolatequeen,"Historical Fiction, Romance, Fantasy, Historical, Satire/Humor, Fanfiction"
483,caillien,"nan, Mainstream, Fantasy, Choose Your Own Adventure, Mainstream Fiction, ALL OF THE ABOVE, Urban Fantasy"
484,Amanda Rose,Fantasy
485,aliblade22,"nan, Romance, Young Adult, Young Adult & Youth"
486,Adam Mayer,"Satire/Humor, Satire, Humor & Parody"
487,artofcheatery,"Science Fiction, Fantasy, Distopian Superhero, Dieselpunk Fantasy, Urban Fantasy"
488,zbluesy,"Young Adult, Young Adult & Youth"
489,WJ Cintron,Thriller/Suspense
490,Twinkle Toes the Berserker,"Science Fiction, Fantasy"
491,Trillian Anderson,Fantasy
492,thePeoplesVictory,Fantasy
493,TFWilde,Erotic
494,syaffolee,"Mystery, Western/Biopunk, Dark Fantasy/Dieselpunk, Steampunk, Science Fiction Horror, Dark Fantasy, Science Fantasy, Science Fiction, Adventure/Magic Realism, Historical Fantasy, Fantasy Adventure, Fantasy Horror, Urban Fantasy"
495,SpidEMcD,"Romance, Mainstream Fiction, Mainstream, Mystery, Thriller & Suspense"
496,snakejuice,"Horror/Supernatural, Horror & Supernatural"
497,sleepers,"Horror/Supernatural, Young Adult & Youth"
498,skybluefusion,"nan, Mainstream Fiction, A little bit of everything, Historical/Supernatural, Historical"
499,shelley4peace,Coming of Age (A Little Late)
500,Shadowsong_cc,"Science Fiction, Fantasy"
